ControllerName,PartNumber,Cost,Quantity,TotalCost
AS-P Server,SXWASPSBX10002,650.09,1,650.09
Automation Server Base,SXWTBASW110002,88.0,1,88.0
DI16,SXWDI16XX10001,238.42,2,476.84
DO8,SXWDOC8XX10001,308.26,1,308.26
I/O Module Base,SXWTBIOW110001,70.0,3,210.0
PS-24V Power Supply,SXWPS24VX10001,166.0,1,166.0
Power Supply Base,SXWTBPSW110001,70.0,1,70.0
mp-c 15,SXWMPC15A10001,706.0,2,1412.0
mp-c 186,SXWMPC18A10001,834.0,1,834.0
mp-c 36,SXWMPC36A10001,1184.88,7,8294.16
mp-c24,SXWMPC24A10001,1059.2,1,1059.2
Grand Total,,,,13568.550000000001
